CO2(ppm),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
504.367,101,25.54,58,0.314,132.749,26,14,10
505.926,101,25.42,58.6,0.203,150.118,27,13,14
506.095,101,25.38,59,0.364,147.145,25,12,12
504.058,101,25.28,59,0.2,131.616,22,18,3
500.973,101,25.14,59.4,0.02,67.5,20,11,9
502.122,101,24.94,60,0.02,22.5,16,9,7
504.383,101,24.8,60,0.083,68.991,21,10,11
501.004,101,24.8,60,0.069,123.571,15,6,8
503.148,101,24.78,60.8,0,0,10,6,4
503.91,101,24.7,61,0.1,143.13,23,13,9
506.13,101,24.78,61,0.53,173.023,10,5,5
505.232,101,24.78,61,0.396,168.17,14,4,9
507.95,101,24.8,61,0.825,171.462,15,7,7
503.222,101,24.64,61,1.108,176.437,11,6,5
502.505,101,24.5,61.6,1.244,175.413,19,7,11
494.196,101,24.18,62,1.533,168.433,16,9,6
486.042,101.02,23.6,62.2,1.034,156.385,22,9,12
487.592,101.1,23.28,63,0.98,147.178,16,9,7
478.163,101.1,23,63.2,0.948,162.131,18,8,9
478.75,101.1,22.84,64,1.207,161.135,11,4,7
475.657,101.1,22.74,64,0.71,152.556,12,6,5
