NO(ppb),NO2(ppb),CO2(ppm),CO(ppm),CH4(ppm),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
27.712,11.222,486.652,0.828,1.752,101,32.18,24.8,0.756,158.619,41,6,29
12.249,11.372,487.012,0.828,1.740,101,32.1,24,1.065,165.761,15,8,6
15.502,11.507,478.623,0.850,1.782,101,32,24.8,0.466,78.611,9,6,2
13.167,13.386,478.374,0.830,1.766,101,31.88,25,0.652,142.013,14,7,7
8.342,11.347,480.745,0.858,1.725,101,31.82,24.4,0.659,169.825,14,4,8
8.282,10.488,481.982,0.842,1.712,101,31.38,24.4,1.980,180.000,10,3,6
11.804,11.035,485.635,0.815,1.730,100.98,31.1,25,1.769,181.983,18,11,7
12.647,10.803,483.024,0.840,1.762,100.92,31.24,25.6,0.749,132.374,13,10,3
19.418,12.290,478.893,0.848,1.760,100.9,31.5,25.6,0.791,140.676,18,8,8
18.284,12.197,479.034,0.852,1.818,100.9,31.9,25.6,0.374,133.106,26,6,19
13.982,10.629,491.412,0.755,1.735,100.9,31.66,24.6,0.670,142.621,16,10,6
17.533,11.692,491.524,0.848,1.758,100.9,31.66,25.8,0.308,147.030,15,9,6
11.732,10.774,481.467,0.845,1.765,100.9,31.74,26,0.442,114.723,8,2,6
10.705,11.775,480.840,0.856,1.736,100.9,31.48,25.4,0.409,145.530,9,7,2
10.583,12.524,479.845,0.842,1.758,100.9,31.56,25.8,0.298,102.871,8,5,2
5.895,10.732,480.892,0.868,1.738,100.94,31.34,25.4,0.816,170.371,10,3,7
10.291,10.864,476.247,0.877,1.737,100.94,31.12,25.6,0.345,102.936,15,5,7
12.600,11.091,480.246,0.860,1.742,100.94,30.94,26,0.513,147.682,23,12,10
24.353,11.442,484.693,0.842,1.732,100.98,30.82,25.2,0.990,176.453,21,10,8
15.123,11.301,483.798,0.802,1.710,100.96,30.72,25,1.228,174.441,17,10,7
22.077,12.719,477.050,0.837,1.797,100.98,30.7,26.8,0.188,49.659,9,8,1
16.652,11.166,476.874,0.874,1.804,100.98,30.6,27.2,0.238,29.331,15,8,6
7.128,10.646,477.737,0.875,1.720,100.96,30.54,25.6,0.601,162.954,11,5,6
13.895,11.110,480.264,0.872,1.772,100.9,30.44,26.8,0.565,128.593,20,15,4
13.358,10.680,479.986,0.862,1.760,100.98,30.46,26.2,0.845,164.821,16,10,5
14.087,12.124,485.355,0.778,1.743,100.96,30.4,26.2,1.046,159.597,20,13,6
13.131,11.680,479.528,0.834,1.746,101,30.48,26.8,0.072,146.190,14,11,2
12.638,10.895,476.478,0.867,1.767,101,30.52,27,0.204,65.628,16,6,9
11.490,10.597,476.420,0.882,1.728,100.96,30.32,26,0.241,109.166,15,8,7
11.678,10.761,475.357,0.878,1.742,100.9,30.16,26.2,0.143,69.236,22,8,11
9.974,11.018,477.416,0.878,1.724,100.9,30.06,26.4,0.084,131.895,13,8,4
17.245,11.894,474.085,0.883,1.777,100.9,29.78,27.4,0.080,45.000,17,10,6
14.567,11.783,472.094,0.890,1.794,100.9,29.58,28,0.107,41.515,11,5,6
22.185,12.430,472.780,0.883,1.808,100.9,29.4,28.6,0.040,337.500,21,5,14
22.430,11.843,476.524,0.860,1.802,100.9,29.4,29,0.072,123.690,18,12,5
16.881,11.116,480.433,0.835,1.783,100.9,29.3,28.2,0.082,83.169,20,11,9
17.477,11.760,482.190,0.812,1.798,100.9,29.3,28,0.330,148.597,20,8,10
22.557,12.599,480.032,0.830,1.828,100.9,29.32,28.8,0.037,22.500,13,5,6
19.152,12.893,477.754,0.846,1.806,100.9,29.34,29,0.045,85.935,13,7,6
16.911,12.395,481.537,0.823,1.785,100.9,29.34,29.2,0.057,22.500,17,6,11
17.222,11.183,481.010,0.846,1.784,100.9,29.4,28.6,0.247,143.436,17,10,6
24.412,11.414,481.647,0.852,1.837,100.9,29.4,29.2,0.112,79.248,18,9,7
17.670,10.557,481.640,0.850,1.808,100.9,29.48,29.2,0.078,33.750,24,17,7
24.004,12.597,479.025,0.860,1.843,100.92,29.52,29.6,0.051,336.194,14,9,5
24.143,11.214,472.620,0.860,1.844,100.96,29.68,29.6,0.020,45.000,17,14,3
24.480,11.596,475.405,0.860,1.850,101,29.62,30,0.020,45.000,20,6,14
25.006,13.545,477.126,0.862,1.852,101,29.64,30,0.000,0.000,16,12,3
23.397,11.569,476.628,0.865,1.845,101,29.42,29.4,0.056,14.639,21,5,15
23.265,11.885,476.862,0.866,1.846,101,29.12,30,0.059,37.543,19,14,5
25.794,11.564,473.528,0.857,1.832,101,28.88,30.6,0.000,0.000,22,12,8
22.727,13.210,478.838,0.854,1.850,101,28.66,31.2,0.089,35.876,17,13,2
21.694,12.639,482.573,0.843,1.838,100.96,28.48,31,0.130,19.114,27,12,12
19.571,11.970,483.438,0.844,1.826,100.96,28.32,31.6,0.135,61.482,20,9,9
22.638,13.202,485.868,0.848,1.833,100.94,28.14,32,0.076,50.794,26,13,12
21.937,12.477,484.816,0.806,1.834,100.92,28.02,32,0.075,34.201,20,9,10
22.982,12.487,487.275,0.828,1.850,100.9,27.96,32,0.262,64.153,17,8,7
41.566,12.323,481.170,0.836,1.844,100.9,27.82,32.8,0.189,65.185,15,8,7
23.802,11.592,484.712,0.838,1.848,101,27.7,33,0.095,31.758,24,14,7
23.930,12.961,484.168,0.838,1.858,101,27.7,33,0.000,0.000,29,10,15
26.990,11.199,485.550,0.837,1.865,101,27.62,33.2,0.095,54.258,21,6,15
37.758,13.163,483.394,0.838,1.864,101,27.54,33.8,0.098,53.972,17,7,10
28.802,13.061,484.393,0.822,1.868,101,27.42,34,0.248,71.035,21,12,7
27.562,12.462,485.798,0.826,1.872,101,27.28,34.2,0.138,61.123,14,7,6
23.838,13.712,485.777,0.822,1.867,101,27.2,34.4,0.020,22.500,20,8,11
23.332,12.943,485.988,0.818,1.860,101,27.14,35,0.086,31.156,18,9,8
30.266,13.317,485.053,0.828,1.868,101,26.98,35,0.039,56.250,26,16,10
26.296,12.485,485.344,0.830,1.880,101,26.78,36,0.078,56.250,14,11,3
30.916,14.017,485.115,0.810,1.885,101,26.62,36,0.151,44.558,18,10,7
27.476,13.810,487.428,0.772,1.880,101,26.5,36,0.292,82.698,16,9,7
27.602,12.416,492.408,0.752,1.883,101,26.4,36,0.079,28.070,17,8,9
27.598,12.240,493.984,0.746,1.880,101,26.28,36,0.099,18.056,14,8,6
26.998,12.474,489.668,0.780,1.862,101,26.18,36.4,0.039,33.750,12,10,2
29.909,14.474,487.674,0.812,1.858,101,26.06,36.6,0.020,0.000,17,9,7
25.577,11.493,482.543,0.830,1.843,101,26.1,36.4,0.040,67.500,15,7,8
27.536,11.851,482.452,0.818,1.850,101,26.14,36.8,0.020,67.500,13,8,4
29.324,12.784,485.332,0.838,1.867,101,26.02,37,0.040,45.000,11,6,5
32.662,12.415,487.704,0.846,1.876,101,25.74,38,0.170,64.912,13,4,9
30.741,13.043,486.467,0.848,1.885,101,25.54,39,0.095,31.043,17,12,5
33.699,13.135,486.262,0.838,1.890,101,25.5,39,0.100,45.000,15,6,9
32.165,13.528,482.192,0.850,1.875,101,25.56,38.4,0.154,53.569,6,4,2
28.729,12.228,482.736,0.848,1.882,101,25.52,38.8,0.289,69.015,16,7,9
31.849,12.803,479.192,0.850,1.872,101,25.5,38.66667,0.262,56.250,19,8,11
232.539,80.862,473.782,0.774,2.305,101.1,23.46,69.2,1.820,90.000,16,4,11
220.167,72.748,471.340,0.748,2.301,101.1,23.64,69.6,0.260,88.925,19,9,9
239.248,79.480,472.326,0.752,2.309,101.1,24.2,67.4,0.628,78.750,15,8,7
247.132,84.928,472.100,0.750,2.311,101.1,24.24,67,0.824,82.026,19,15,2
235.668,78.922,475.798,0.746,2.300,101.1,23.98,67.4,1.720,90.000,12,9,3
226.476,85.052,477.032,0.737,2.305,101.1,24,67.8,0.855,80.439,16,7,8
218.632,104.136,478.238,0.734,2.293,101.1,24.06,67.4,0.726,80.290,12,10,1
203.678,87.907,485.963,0.688,2.295,101.1,24.48,66.2,0.184,83.634,20,8,11
204.241,96.120,485.830,0.666,2.289,101.1,24.7,64.8,0.561,158.400,20,6,14
217.657,80.275,484.268,0.680,2.298,101.1,24.7,65,0.173,85.477,15,9,5
224.082,70.850,487.108,0.684,2.296,101.1,24.86,64.4,0.194,92.006,13,6,7
244.194,115.780,483.648,0.693,2.293,101.1,25.18,63.8,0.291,58.177,19,8,10
227.310,113.356,487.116,0.706,2.286,101.1,25.1,63.2,0.442,114.249,17,13,4
250.393,142.910,485.050,0.690,2.305,101.1,25.04,64,0.279,60.235,21,12,7
267.200,96.794,484.500,0.692,2.300,101.1,25.36,62.6,0.294,120.372,14,12,2
252.606,97.867,481.470,0.695,2.317,101.1,25,63.4,0.455,73.437,14,8,6
267.756,71.854,486.244,0.662,2.316,101.1,24.94,64.4,0.368,64.752,19,9,8
258.794,72.398,484.048,0.678,2.310,101.1,24.86,63.8,0.406,83.077,14,7,6
237.759,102.886,490.162,0.650,2.302,101.1,25.08,63.2,0.277,151.036,15,5,10
253.458,81.920,485.713,0.658,2.307,101.1,25.16,63,1.053,92.083,16,10,6
249.850,95.278,485.894,0.668,2.313,101.1,25.06,63.6,0.232,65.313,20,10,9
256.931,87.983,484.068,0.675,2.311,101.1,25.7,61.8,0.371,109.645,14,8,3
250.415,110.918,487.644,0.656,2.305,101.1,25.8,60.8,0.496,110.194,15,8,5
235.364,130.702,486.670,0.662,2.302,101.1,25.6,61,0.656,158.837,15,8,7
241.789,74.023,487.463,0.662,2.313,101.1,25.64,61,0.297,68.078,23,11,12
252.564,84.248,484.406,0.672,2.305,101.08,26.58,58.6,0.149,60.367,9,5,4
243.500,81.397,488.765,0.640,2.301,101.1,26.88,57,0.383,130.773,14,9,4
245.594,82.488,487.670,0.670,2.287,101.1,26.48,57.2,0.420,166.042,17,9,8
238.515,89.267,491.362,0.632,2.304,101.1,26.42,58.2,0.406,122.000,16,12,3
240.774,88.722,489.860,0.634,2.295,101.08,26.68,57.2,0.290,160.186,9,6,3
236.214,72.540,490.857,0.640,2.295,101.02,26.52,57.4,0.684,153.943,17,9,6
246.461,84.814,492.934,0.634,2.280,101,26.56,57.6,0.574,168.062,16,14,2
253.366,76.245,496.017,0.605,2.298,101,26.36,57.6,0.797,162.546,18,9,9
262.070,83.410,491.284,0.644,2.307,101,26.36,58,0.778,208.145,11,8,3
252.911,70.880,493.163,0.632,2.286,101,25.88,58.8,0.800,157.500,17,13,3
220.936,93.072,488.726,0.664,2.282,101,25.96,58.2,0.230,149.590,6,3,3
240.330,121.380,496.007,0.623,2.275,101,26.22,57,1.396,187.244,19,6,13
249.635,85.182,492.654,0.622,2.280,101,25.9,58.6,0.671,168.250,10,4,5
264.034,89.767,502.300,0.547,2.299,101,26.24,58.2,1.429,191.358,7,3,4
259.003,79.946,499.420,0.610,2.300,101,25.88,59.2,1.653,186.647,6,5,1
264.393,74.210,495.337,0.613,2.308,101,25.86,59.8,0.489,169.683,17,10,7
254.724,96.054,497.858,0.584,2.298,101,25.66,59.8,1.138,186.862,17,9,6
248.422,100.275,500.420,0.587,2.295,101,25.66,59.8,0.988,182.665,13,8,4
252.412,77.488,499.764,0.592,2.304,101,25.86,60,0.680,178.315,18,10,6
244.136,95.840,500.968,0.583,2.311,101,25.84,60.2,0.612,172.638,19,8,9
252.944,85.030,498.546,0.590,2.311,101,25.74,60.6,0.430,169.906,23,8,13
252.128,99.905,496.498,0.598,2.301,101,25.64,60.2,0.605,161.195,11,5,4
254.979,93.436,495.958,0.608,2.336,101,25.46,61.2,0.720,188.161,18,12,5
258.449,96.825,495.350,0.617,2.333,101,25.64,61.6,0.100,202.500,26,11,13
244.840,73.820,499.186,0.608,2.298,101,25.8,60,0.435,156.570,14,10,3
247.081,89.242,499.025,0.600,2.307,101,25.78,60.2,0.425,159.255,13,5,7
252.667,81.972,496.788,0.610,2.300,101,25.64,60.2,0.647,145.905,10,6,3
225.477,89.272,498.267,0.607,2.310,101,25.5,61.4,0.766,178.942,12,5,7
246.882,80.006,504.004,0.572,2.318,101,25.72,61.8,0.221,148.998,16,9,7
247.844,80.373,496.515,0.613,2.308,101,25.98,60,0.380,147.787,14,6,8
241.122,87.470,498.384,0.604,2.298,101,25.86,59.8,0.149,149.352,21,7,13
225.429,95.180,503.185,0.555,2.311,101,26.06,60,0.337,166.858,19,11,8
243.745,79.996,503.546,0.438,2.298,101,26.3,57.8,0.396,183.323,14,10,4
216.473,87.050,501.733,0.482,2.311,101,26.72,57.8,0.189,98.642,16,7,9
242.460,70.854,496.368,0.586,2.325,101,26.68,57.8,0.457,126.752,26,9,16
244.207,90.847,500.070,0.588,2.330,101,26.54,57.6,0.586,177.055,12,6,5
238.858,89.252,499.420,0.596,2.304,101,26.22,58.4,0.444,152.163,13,6,6
230.815,86.355,500.043,0.600,2.298,101,26.06,58.2,0.808,185.433,13,5,8
235.750,81.534,508.812,0.548,2.289,101,25.9,58.6,1.491,189.751,16,10,5
240.650,86.947,503.472,0.580,2.292,101,25.8,58.8,0.888,184.944,16,7,9
238.010,86.576,499.332,0.598,2.305,101,25.98,58.8,0.454,184.488,16,7,9
241.245,96.980,503.475,0.598,2.313,101,26.12,58,0.656,171.800,16,12,3
255.224,106.858,497.358,0.604,2.327,101,26.48,57.4,0.605,56.676,12,5,7
248.956,88.205,504.738,0.577,2.289,101,26.3,57.2,0.480,170.959,17,7,9
231.645,78.262,503.048,0.592,2.291,101,26.12,57.8,0.546,164.935,16,8,7
242.184,94.168,508.490,0.535,2.292,101,26,57.8,0.385,171.043,20,11,9
236.648,83.342,499.978,0.562,2.307,101,25.98,58,0.226,162.533,19,9,10
251.165,91.913,494.935,0.582,2.332,101,26.28,58.4,0.040,45.000,15,14,1
260.782,86.456,495.538,0.604,2.313,101,26.28,57.2,0.130,87.133,17,7,8
237.454,92.725,498.248,0.600,2.304,101,26.46,57,0.089,58.376,14,6,7
233.109,95.532,498.794,0.600,2.282,101,26.34,57,0.152,50.794,16,11,5
242.254,89.592,495.818,0.597,2.299,101,26.22,57,0.067,167.881,17,9,7
248.636,81.740,502.660,0.556,2.307,101,26.18,57.4,0.169,133.233,7,4,3
256.876,75.077,498.147,0.570,2.315,101,26.04,58,0.076,28.294,18,9,9
241.417,74.240,505.018,0.580,2.304,101,26.1,57.6,0.146,116.808,15,12,2
259.658,90.523,501.607,0.573,2.324,101,25.98,59.2,0.020,0.000,17,6,11
227.732,70.056,506.016,0.556,2.307,101,26.1,58.6,0.056,37.139,18,11,6
242.499,74.420,503.283,0.583,2.308,101,26.02,58.4,0.112,52.861,17,9,6
242.589,72.972,500.096,0.584,2.320,100.98,26.14,58,0.078,56.250,13,3,8
232.257,76.638,506.913,0.578,2.281,101,26.02,58,0.234,128.421,20,10,9
217.130,70.650,505.622,0.592,2.279,101,25.94,57.8,0.344,175.649,17,10,5
240.485,78.663,499.655,0.617,2.308,101,26,58,0.098,58.528,16,10,5
228.897,78.774,503.234,0.586,2.286,101,26.02,57.6,0.241,161.849,17,9,8
226.913,73.570,505.335,0.582,2.283,100.96,25.96,58,0.020,45.000,26,8,15
233.239,86.242,505.912,0.572,2.279,100.9,26.02,57.8,0.319,146.991,25,10,13
220.792,81.692,504.687,0.563,2.292,101,26.04,58,0.055,93.151,18,8,7
233.717,76.570,505.270,0.570,2.287,100.96,26.06,58,0.619,162.571,21,7,13
217.396,81.223,501.808,0.598,2.281,101,25.9,58,0.321,162.232,15,5,10
226.521,77.588,504.694,0.592,2.282,100.96,25.84,58.4,0.160,135.408,21,9,11
225.184,85.768,502.480,0.598,2.287,100.96,25.88,58.4,0.057,135.000,33,13,18
223.825,71.804,502.888,0.576,2.271,100.9,25.96,57.6,0.355,148.314,21,6,13
217.811,85.583,499.090,0.612,2.263,100.9,26.08,57,0.313,126.996,16,9,5
213.018,80.598,497.572,0.616,2.263,100.9,25.98,57,0.328,119.611,21,7,12
210.526,79.202,500.083,0.590,2.271,100.94,25.8,58,0.156,137.135,22,9,13
212.477,80.930,502.714,0.602,2.268,100.98,25.68,58,0.487,157.226,20,13,6
214.800,86.538,504.367,0.530,2.253,101,25.54,58,0.314,132.749,26,14,10
241.042,114.710,505.926,0.548,2.248,101,25.42,58.6,0.203,150.118,27,13,14
214.797,75.132,506.095,0.527,2.266,101,25.38,59,0.364,147.145,25,12,12
219.401,76.410,504.058,0.590,2.261,101,25.28,59,0.200,131.616,22,18,3
224.867,87.760,500.973,0.607,2.257,101,25.14,59.4,0.020,67.500,20,11,9
221.710,78.948,502.122,0.618,2.263,101,24.94,60,0.020,22.500,16,9,7
206.583,96.320,504.383,0.613,2.275,101,24.8,60,0.083,68.991,21,10,11
214.990,90.284,501.004,0.590,2.257,101,24.8,60,0.069,123.571,15,6,8
224.168,79.002,503.148,0.603,2.259,101,24.78,60.8,0.000,0.000,10,6,4
220.273,103.972,503.910,0.568,2.263,101,24.7,61,0.100,143.130,23,13,9
222.217,77.800,506.130,0.547,2.269,101,24.78,61,0.530,173.023,10,5,5
227.664,78.754,505.232,0.564,2.261,101,24.78,61,0.396,168.170,14,4,9
219.850,110.728,507.950,0.530,2.268,101,24.8,61,0.825,171.462,15,7,7
228.906,82.316,503.222,0.578,2.264,101,24.64,61,1.108,176.437,11,6,5
214.793,82.903,502.505,0.570,2.266,101,24.5,61.6,1.244,175.413,19,7,11
231.857,72.612,494.196,0.626,2.248,101,24.18,62,1.533,168.433,16,9,6
222.949,58.268,486.042,0.675,2.208,101.02,23.6,62.2,1.034,156.385,22,9,12
206.676,82.268,487.592,0.706,2.166,101.1,23.28,63,0.980,147.178,16,9,7
223.497,100.030,478.163,0.725,2.182,101.1,23,63.2,0.948,162.131,18,8,9
231.688,127.338,478.750,0.734,2.175,101.1,22.84,64,1.207,161.135,11,4,7
202.406,87.573,475.657,0.720,2.167,101.1,22.74,64,0.710,152.556,12,6,5
